ID;Runs;TotalTime;AvgTime;Errors;ERR;DegreeBefore;DegreeAfter
1;1;7116;7116;0;0;6;6
2;1;9167;9167;0;0;6;6
3;1;11655;11655;0;0;18;18
4;1;7348;7348;0;0;6;6
6;1;7704;7704;0;0;7;7
7;1;658;658;0;0;3;3
8;1;14671;14671;0;0;8;8
10;1;23366;23366;0;0;8;8
11;1;11063;11063;0;0;7;7
13;1;32774;32774;0;0;11;11
14;1;2805;2805;0;0;5;5
15;1;38805;38805;0;0;9;9
16;1;11006;11006;0;0;8;8
17;1;8648;8648;0;0;7;7
18;1;38854;38854;0;0;8;8
19;1;6517;6517;0;0;6;6
20;1;9284;9284;0;0;12;12
22;1;15569;15569;0;0;7;7
23;1;1478;1478;0;0;14;14
24;1;22174;22174;0;0;8;8
25;1;16923;16923;0;0;9;9
26;1;30827;30827;0;0;10;10
27;1;15791;15791;0;0;8;8
28;1;20898;20898;0;0;12;12
31;1;20147;20147;0;0;12;12
32;1;9074;9074;0;0;7;7
33;1;17782;17782;0;0;9;9
