ID;Runs;TotalTime;AvgTime;Errors;ERR;DegreeBefore;DegreeAfter
1;1;1113;1113;0;0;6;6
2;1;1664;1664;0;0;6;6
3;1;39844;39844;0;0;17;17
4;1;1753;1753;0;0;6;6
6;1;4433;4433;0;0;8;8
7;1;597;597;0;0;4;4
8;1;2995;2995;0;0;7;7
10;1;4697;4697;0;0;8;8
11;1;2297;2297;0;0;8;8
13;1;3852;3852;0;0;10;10
14;1;1130;1130;0;0;5;5
15;1;4037;4037;0;0;9;9
16;1;2532;2532;0;0;8;8
17;1;1903;1903;0;0;6;6
18;1;2933;2933;0;0;8;8
19;1;1929;1929;0;0;6;6
20;1;12085;12085;0;0;14;14
22;1;5652;5652;0;0;9;9
23;1;11348;11348;0;0;14;14
24;1;3365;3365;0;0;8;8
25;1;4170;4170;0;0;9;9
26;1;7447;7447;0;0;10;10
27;1;3626;3626;0;0;8;8
28;1;9247;9247;0;0;12;12
31;1;13641;13641;0;0;12;12
32;1;4566;4566;0;0;7;7
33;1;4695;4695;0;0;9;9
