ID;Runs;TotalTime;AvgTime;Errors;ERR;DegreeBefore;DegreeAfter
1;1;1420;1420;0;0;6;6
2;1;3800;3800;0;0;6;6
3;1;16506;16506;0;0;17;17
4;1;6317;6317;0;0;6;6
6;1;2008;2008;0;0;8;8
7;1;538;538;0;0;4;4
8;1;6970;6970;0;0;7;7
10;1;9845;9845;0;0;7;7
11;1;1483;1483;0;0;7;7
13;1;3534;3534;0;0;11;11
14;1;789;789;0;0;5;5
15;1;8506;8506;0;0;9;9
16;1;1607;1607;0;0;8;8
17;1;1736;1736;0;0;8;8
18;1;1968;1968;0;0;9;9
19;1;1363;1363;0;0;8;8
20;1;3915;3915;0;0;13;13
22;1;2756;2756;0;0;8;8
23;1;17222;17222;0;0;15;15
24;1;1329;1329;0;0;8;8
25;1;2374;2374;0;0;9;9
26;1;39639;39639;0;0;13;13
27;1;2427;2427;0;0;9;9
28;1;4336;4336;0;0;13;13
31;1;48201;48201;0;0;11;11
32;1;1487;1487;0;0;9;9
33;1;3142;3142;0;0;11;11
