ID;Runs;TotalTime;AvgTime;Errors;ERR;DegreeBefore;DegreeAfter
1;1;3425;3425;0;0;6;6
2;1;1752;1752;0;0;6;6
3;1;33448;33448;0;0;18;18
4;1;1704;1704;0;0;6;6
6;1;3684;3684;0;0;7;7
7;1;723;723;0;0;4;4
8;1;4848;4848;0;0;8;8
10;1;3894;3894;0;0;8;8
11;1;3524;3524;0;0;8;8
13;1;4898;4898;0;0;10;10
14;1;1323;1323;0;0;5;5
15;1;4432;4432;0;0;9;9
16;1;4732;4732;0;0;9;9
17;1;4733;4733;0;0;7;7
18;1;5829;5829;0;0;9;9
19;1;2991;2991;0;0;7;7
20;1;16690;16690;0;0;13;13
22;1;3058;3058;0;0;7;7
23;1;14174;14174;0;0;14;14
24;1;4197;4197;0;0;8;8
25;1;5543;5543;0;0;9;9
26;1;7677;7677;0;0;10;10
27;1;8121;8121;0;0;10;10
28;1;10501;10501;0;0;12;12
31;1;13489;13489;0;0;12;12
32;1;3464;3464;0;0;7;7
33;1;4966;4966;0;0;9;9
