ID;Runs;TotalTime;AvgTime;Errors;ERR;DegreeBefore;DegreeAfter
1;1;29825;29825;0;0;6;6
2;1;2952;2952;0;0;6;6
3;1;17441;17441;0;0;15;15
4;1;4692;4692;0;0;6;6
6;1;34387;34387;0;0;8;8
7;1;7962;7962;0;0;4;4
8;1;13136;13136;0;0;6;6
10;1;24613;24613;0;0;7;7
11;1;55658;55658;0;0;7;7
13;1;6543;6543;0;0;11;11
14;1;16695;16695;0;0;5;5
15;1;16003;16003;0;0;9;9
16;1;7462;7462;0;0;8;8
17;1;19593;19593;0;0;5;5
18;1;7059;7059;0;0;8;8
19;1;1496;1496;0;0;9;9
20;1;26379;26379;0;0;12;12
22;1;16263;16263;0;0;8;8
23;1;6547;6547;0;0;14;14
24;1;4387;4387;0;0;7;7
25;1;21347;21347;0;0;11;11
26;1;22538;22538;0;0;13;13
27;1;4417;4417;0;0;8;8
28;1;25584;25584;0;0;10;10
31;1;9023;9023;0;0;10;10
32;1;12698;12698;0;0;8;8
33;1;2316;2316;0;0;10;10
