ID;Runs;TotalTime;AvgTime;Errors;ERR;DegreeBefore;DegreeAfter
1;1;22450;22450;0;0;6;6
2;1;22422;22422;0;0;6;6
3;1;18114;18114;0;0;18;18
4;1;42944;42944;0;0;6;6
6;1;5251;5251;0;0;9;9
7;1;4214;4214;0;0;3;3
8;1;28627;28627;0;0;8;8
10;1;15404;15404;0;0;8;8
11;1;16604;16604;0;0;7;7
13;1;17310;17310;0;0;10;10
14;1;10639;10639;0;0;5;5
15;1;26745;26745;0;0;9;9
16;1;10531;10531;0;0;9;9
17;1;36191;36191;0;0;6;6
18;1;18810;18810;0;0;9;9
19;1;35878;35878;0;0;5;5
20;1;18828;18828;0;0;15;15
22;1;4004;4004;0;0;8;8
23;1;20243;20243;0;0;15;15
24;1;34314;34314;0;0;7;7
25;1;9135;9135;0;0;10;10
26;1;21952;21952;0;0;9;9
27;1;4781;4781;0;0;9;9
28;1;28953;28953;0;0;12;12
31;1;29178;29178;0;0;11;11
32;1;5560;5560;0;0;8;8
33;1;11112;11112;0;0;10;10
